,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
0,937,21048,20111,22.463180362860193,4.451729380463703,0
1,465,2631,2166,5.658064516129032,17.67388825541619,3
2,542,21048,20506,38.83394833948339,2.5750665146332192,0
3,838,2631,1793,3.139618138424821,31.851007221588752,3
4,196,1316,1120,6.714285714285714,14.893617021276595,4
5,1200,5262,4062,4.385,22.80501710376283,2
6,1043,5262,4219,5.045062320230105,19.821360699353857,2
7,356,1316,960,3.696629213483146,27.0516717325228,4
8,533,2631,2098,4.936210131332083,20.258456860509312,3
9,0,2,2,inf,0.0,13
